id,label,plane,tier,language,framework,primary_cwe,variant,acceptable_cwes,owasp_2021,severity,file,start_line,end_line,alt_locations,flow,sanitizer,obfuscation,build_required,source
c-0db527f2,safe,vuln,1,javascript,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/javascript/0db527f2/work.js,3,3,,inter-file,custom-effective,reflection,false,hand-authored
c-0e4a54a2,safe,vuln,1,go,,CWE-918,unvalidated-url,CWE-918,A10,high,tier1/go/0e4a54a2/fetch.go,16,16,tier1/go/0e4a54a2/handler.go:3:3,inter-file,custom-effective,none,false,generated
c-0e818cc9,safe,vuln,1,java,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/java/0e818cc9/Settings.java,5,5,,intra-procedural,custom-effective,none,false,generated
c-0f0f9efb,vulnerable,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java,196,215,tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java:1038:1098;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java:301:304;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java:1149:1174;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java:1224:1227;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-example/src/main/java/org/apache/tika/example/ExtractEmbeddedFiles.java:73:104;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-server/src/main/java/org/apache/tika/server/resource/UnpackerResource.java:173:244;tier3/project-sources/apache__tika_CVE-2018-11762_1.18/tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java:1028:1116,unknown,unknown,unknown,true,cve
c-0f3a8cdd,vulnerable,vuln,3,go,,CWE-116,unknown,CWE-116,,high,tier3/patcheval/gofiber__template@fd5a1ab847eb/django/django.go,211,245,,unknown,unknown,unknown,false,cve
c-10cd4c50,safe,vuln,1,swift,,CWE-190,unchecked-arithmetic,CWE-190;CWE-680;CWE-191,A03,high,tier1/swift/10cd4c50/Work.swift,5,5,tier1/swift/10cd4c50/main.swift:4:4,inter-file,custom-effective,none,false,generated
c-111a4e0a,vulnerable,vuln,1,go,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/go/111a4e0a/work.go,16,16,tier1/go/111a4e0a/main.go:11:11,inter-file,none,container-field,false,hand-authored
c-11745c0b,safe,secret,1,go,,CWE-798,,CWE-798;CWE-259;CWE-321,A07,critical,tier1/go/11745c0b/deploy.go,3,3,,intra-procedural,custom-effective,none,false,hand-authored
c-11b5bb46,vulnerable,secret,1,python,,CWE-798,payment-key,CWE-798;CWE-259;CWE-321,A07,critical,tier1/python/11b5bb46/billing.py,1,1,,intra-procedural,none,none,false,generated
c-11ee4cb2,safe,vuln,1,c,,CWE-22,unvalidated-concat,CWE-22;CWE-23;CWE-35;CWE-36,A01,high,tier1/c/11ee4cb2/reader.c,13,13,tier1/c/11ee4cb2/main.c:3:3,inter-file,custom-effective,none,false,generated
c-121982c7,safe,sca,1,python,,CWE-1395,,CWE-1395;CWE-937;CWE-1104,A06,high,tier1/python/121982c7/requirements.txt,2,2,,intra-procedural,custom-effective,none,false,hand-authored
c-128f8156,safe,vuln,1,python,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/python/128f8156/work.py,15,15,,inter-file,custom-effective,collection,false,hand-authored
c-13328a8b,vulnerable,vuln,1,python,,CWE-89,,CWE-89;CWE-943;CWE-564,A03,high,tier1/python/13328a8b/work.py,5,5,tier1/python/13328a8b/cli.py:7:7,inter-file,none,aliasing,false,hand-authored
c-13ce88dd,safe,vuln,1,go,net/http,CWE-89,format-string,CWE-89;CWE-943;CWE-564,A03,high,tier1/go/13ce88dd/store.go,12,12,tier1/go/13ce88dd/handler.go:3:3,inter-file,framework-implicit,none,false,generated
c-140e3063,vulnerable,vuln,3,python,,CWE-22,unknown,CWE-22;CWE-23;CWE-36;CWE-73,,high,tier3/patcheval/django__django@156d318/django/core/files/storage/base.py,24,41,tier3/patcheval/django__django@156d318/django/core/files/utils.py:7:24,unknown,unknown,unknown,false,cve
c-142c90fb,vulnerable,vuln,1,ruby,,CWE-117,unsanitised-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/ruby/142c90fb/work.rb,2,2,tier1/ruby/142c90fb/handler.rb:3:3,inter-file,none,none,false,generated
c-1449e5a7,safe,vuln,1,python,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/python/1449e5a7/settings.py,6,6,,intra-procedural,custom-effective,none,false,generated
c-153336e6,vulnerable,vuln,1,python,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/python/153336e6/work.py,13,13,tier1/python/153336e6/cli.py:7:7,inter-file,none,container-field,false,hand-authored
c-155a7ecd,vulnerable,vuln,3,python,,CWE-601,unknown,CWE-601;CWE-1022,,high,tier3/patcheval/django__django@af344691114e/django/middleware/common.py,83,102,tier3/patcheval/django__django@af344691114e/django/urls/resolvers.py:564:636,unknown,unknown,unknown,false,cve
c-15bbd3e4,safe,vuln,1,java,,CWE-284,client-controlled-role,CWE-284;CWE-862;CWE-863;CWE-807,A01,high,tier1/java/15bbd3e4/Gate.java,5,5,tier1/java/15bbd3e4/Cli.java:4:4,inter-file,custom-effective,none,false,generated
c-173b5981,safe,vuln,1,typescript,,CWE-502,prototype-pollution,CWE-502;CWE-915,A08,high,tier1/typescript/173b5981/work.ts,10,10,tier1/typescript/173b5981/route.ts:3:3,inter-file,custom-effective,none,false,generated
c-179e04f8,safe,vuln,1,python,flask,CWE-200,stack-trace-to-client,CWE-200;CWE-209;CWE-532,A01,high,tier1/python/179e04f8/handler.py,13,13,tier1/python/179e04f8/handler.py:8:8,inter-file,custom-effective,none,false,generated
c-18e8cd1f,vulnerable,vuln,1,python,,CWE-532,credentials-in-log,CWE-532;CWE-200;CWE-215,A09,high,tier1/python/18e8cd1f/audit.py,7,7,tier1/python/18e8cd1f/handler.py:4:4,inter-file,none,none,false,generated
c-199a279d,vulnerable,vuln,1,python,flask,CWE-78,blocklist-filter,CWE-78;CWE-77;CWE-88;CWE-94,A03,high,tier1/python/199a279d/runner.py,6,6,tier1/python/199a279d/handler.py:4:4,inter-file,none,none,false,generated
c-19e2dbfb,safe,vuln,1,typescript,nestjs,CWE-89,concat-statement,CWE-89;CWE-943;CWE-564,A03,high,tier1/typescript/19e2dbfb/store.ts,5,5,tier1/typescript/19e2dbfb/route.ts:3:3,inter-file,framework-implicit,none,false,generated
c-1a58dfe0,vulnerable,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-client/src/main/java/org/springframework/cloud/config/client/ConfigServicePropertySourceLocator.java,188,257,tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-client/src/main/java/org/springframework/cloud/config/environment/Environment.java:107:109;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/GenericResourceRepository.java:116:135;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/GenericResourceRepository.java:60:86;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/GenericResourceRepository.java:88:109;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/ResourceController.java:133:137;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/ResourceController.java:180:187;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/ResourceController.java:72:78;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/resource/ResourceController.java:170:178;tier3/project-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/environment/EnvironmentController.java:65:506,unknown,unknown,unknown,true,cve
c-1a72882d,safe,vuln,1,swift,,CWE-89,concat-statement,CWE-89;CWE-943;CWE-564,A03,high,tier1/swift/1a72882d/Work.swift,4,4,tier1/swift/1a72882d/main.swift:4:4,inter-file,custom-effective,none,false,generated
c-1af66afb,safe,vuln,1,rust,,CWE-117,unsanitised-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/rust/1af66afb/src/work.rs,3,3,tier1/rust/1af66afb/src/main.rs:5:5,inter-file,custom-effective,none,false,generated
c-1b09c69f,vulnerable,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/resource/ClassPathResourceHandler.java,60,88,tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/resource/ExternalResourceHandler.java:59:87;tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/staticfiles/StaticFilesConfiguration.java:80:101;tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/staticfiles/StaticFilesConfiguration.java:150:178;tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/staticfiles/StaticFilesConfiguration.java:235:238;tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/staticfiles/StaticFilesConfiguration.java:180:200;tier3/project-sources/perwendel__spark_CVE-2016-9177_2.5.1/src/main/java/spark/utils/StringUtils.java:376:391,unknown,unknown,unknown,true,cve
c-1bdc378b,vulnerable,vuln,1,python,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/python/1bdc378b/handler.py,11,11,tier1/python/1bdc378b/cli.py:7:7,inter-file,ineffective,none,false,hand-authored
c-1d298514,safe,vuln,1,csharp,aspnet,CWE-89,concat-statement,CWE-89;CWE-943;CWE-564,A03,high,tier1/csharp/1d298514/Store.cs,12,12,tier1/csharp/1d298514/Controller.cs:5:5,inter-file,framework-implicit,none,false,generated
c-1d4b7f8f,safe,vuln,1,c,,CWE-416,use-after-free,CWE-416;CWE-825;CWE-672,A03,high,tier1/c/1d4b7f8f/work.c,10,10,tier1/c/1d4b7f8f/main.c:4:4,inter-file,custom-effective,none,false,generated
c-1db55a4b,vulnerable,vuln,1,rust,,CWE-117,unsanitised-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/rust/1db55a4b/src/work.rs,2,2,tier1/rust/1db55a4b/src/main.rs:5:5,inter-file,none,none,false,generated
c-1ea7b12d,vulnerable,vuln,1,java,,CWE-79,,CWE-79;CWE-80;CWE-83,A03,high,tier1/java/1ea7b12d/Handler.java,4,4,tier1/java/1ea7b12d/Cli.java:3:3,inter-file,ineffective,none,false,hand-authored
c-1ef620b9,vulnerable,vuln,3,java,,CWE-79,unknown,CWE-79;CWE-80;CWE-83;CWE-116,,high,tier3/project-sources/xuxueli__xxl-job_CVE-2020-29204_2.2.0/xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobGroupController.java,62,88,tier3/project-sources/xuxueli__xxl-job_CVE-2020-29204_2.2.0/xxl-job-admin/src/main/java/com/xxl/job/admin/controller/UserController.java:51:65,unknown,unknown,unknown,true,cve
c-1f065c0c,safe,vuln,1,python,,CWE-798,identifier-not-secret,CWE-798;CWE-259;CWE-321,A07,high,tier1/python/1f065c0c/ids.py,1,1,,intra-procedural,custom-effective,none,false,generated
c-1f97301a,safe,vuln,1,java,,CWE-117,unsanitised-log-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/java/1f97301a/Audit.java,10,10,tier1/java/1f97301a/Cli.java:4:4,inter-file,custom-effective,none,false,generated
c-1fd233ec,safe,vuln,1,csharp,,CWE-327,weak-hash,CWE-327;CWE-328;CWE-326,A02,high,tier1/csharp/1fd233ec/Work.cs,10,10,tier1/csharp/1fd233ec/Controller.cs:5:5,inter-file,custom-effective,none,false,generated
c-20abb5a0,vulnerable,vuln,1,ruby,,CWE-22,unvalidated-join,CWE-22;CWE-23;CWE-35;CWE-36,A01,high,tier1/ruby/20abb5a0/work.rb,4,4,tier1/ruby/20abb5a0/handler.rb:3:3,inter-file,none,none,false,generated
c-21c2c7ca,safe,vuln,1,swift,,CWE-117,unsanitised-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/swift/21c2c7ca/Work.swift,6,6,tier1/swift/21c2c7ca/main.swift:4:4,inter-file,custom-effective,none,false,generated
c-21d62e35,safe,vuln,1,python,flask,CWE-434,blocklist-extension,CWE-434;CWE-646;CWE-73,A04,high,tier1/python/21d62e35/storage.py,13,13,tier1/python/21d62e35/handler.py:4:4,inter-file,custom-effective,none,false,generated
c-21f230b8,vulnerable,sca,1,python,,CWE-1395,,CWE-1395;CWE-937;CWE-1104,A06,high,tier1/python/21f230b8/requirements.txt,2,2,,intra-procedural,none,none,false,hand-authored
c-222ae855,safe,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/fixed-sources/spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE/spring-cloud-config-client/src/main/java/org/springframework/cloud/config/client/ConfigServicePropertySourceLocator.java,223,292,,unknown,custom-effective,unknown,false,cve
c-22dfe86f,vulnerable,vuln,1,typescript,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/typescript/22dfe86f/work.ts,1,1,tier1/typescript/22dfe86f/route.ts:3:3,inter-file,none,none,false,generated
c-236b0ad8,safe,vuln,1,cpp,,CWE-134,caller-controls-the-template,CWE-134;CWE-133,A03,high,tier1/cpp/236b0ad8/work.cpp,6,6,tier1/cpp/236b0ad8/main.cpp:7:7,inter-file,custom-effective,none,false,generated
c-236f8d7e,safe,vuln,1,java,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/java/236f8d7e/Report.java,30,30,,inter-file,custom-effective,container-field,false,hand-authored
c-2393f064,safe,vuln,1,python,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/python/2393f064/handler.py,11,11,,inter-file,custom-effective,none,false,hand-authored
c-246717f6,vulnerable,vuln,1,c,,CWE-476,unchecked-allocation,CWE-476;CWE-690,A03,high,tier1/c/246717f6/work.c,7,7,tier1/c/246717f6/main.c:4:4,inter-file,none,none,false,generated
c-246971e4,vulnerable,vuln,1,kotlin,,CWE-78,shell-string,CWE-78;CWE-77;CWE-88;CWE-94,A03,high,tier1/kotlin/246971e4/Runner.kt,5,5,tier1/kotlin/246971e4/Cli.kt:3:3,inter-file,none,none,false,generated
c-246fcc28,vulnerable,vuln,3,javascript,,CWE-59,unknown,CWE-59,,high,tier3/patcheval/npm__node-tar@9fc84b9/lib/parse.js,140,285,,unknown,unknown,unknown,false,cve
c-2507d1ae,vulnerable,vuln,1,python,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/python/2507d1ae/handler.py,8,8,tier1/python/2507d1ae/cli.py:7:7,inter-file,ineffective,none,false,hand-authored
c-251ebfea,safe,vuln,1,cpp,,CWE-117,unsanitised-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/cpp/251ebfea/work.cpp,8,8,tier1/cpp/251ebfea/main.cpp:7:7,inter-file,custom-effective,none,false,generated
c-2526271e,vulnerable,vuln,3,javascript,,CWE-78,unknown,CWE-78;CWE-77;CWE-88,,high,tier3/patcheval/totaljs__framework@79e84ad/image.js,319,340,,unknown,unknown,unknown,false,cve
c-255029b8,vulnerable,vuln,3,java,,CWE-94,unknown,CWE-94;CWE-95;CWE-96;CWE-78;CWE-470,,high,tier3/project-sources/SpringSource__spring-security-oauth_CVE-2018-1260_2.3.2.RELEASE/spring-security-oauth2/src/main/java/org/springframework/security/oauth2/client/DefaultOAuth2RequestAuthenticator.java,29,40,,unknown,unknown,unknown,true,cve
c-25d0412f,vulnerable,vuln,1,python,flask,CWE-434,unchecked-upload,CWE-434;CWE-646;CWE-73,A04,high,tier1/python/25d0412f/storage.py,8,8,tier1/python/25d0412f/handler.py:4:4,inter-file,none,none,false,generated
c-261fc4dd,vulnerable,vuln,1,java,spring-security,CWE-862,missing-annotation,CWE-862;CWE-284;CWE-285;CWE-863,A01,high,tier1/java/261fc4dd/AdminController.java,24,24,tier1/java/261fc4dd/AdminController.java:13:13,framework-mediated,none,none,false,generated
c-279f680a,vulnerable,vuln,1,ruby,,CWE-327,weak-hash,CWE-327;CWE-328;CWE-326,A02,high,tier1/ruby/279f680a/work.rb,4,4,tier1/ruby/279f680a/handler.rb:3:3,inter-file,none,none,false,generated
c-2860b33f,vulnerable,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java,61,63,tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java:104:106;tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java:136:147;tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java:158:169;tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java:117:125;tier3/project-sources/perwendel__spark_CVE-2018-9159_2.7.1/src/main/java/spark/resource/ClassPathResource.java:225:240,unknown,unknown,unknown,true,cve
c-289eb338,safe,vuln,1,go,,CWE-89,,CWE-89;CWE-943;CWE-564,A03,high,tier1/go/289eb338/work.go,11,11,,inter-file,custom-effective,callback,false,hand-authored
c-292c320d,safe,vuln,1,java,,CWE-770,unbounded-allocation,CWE-770;CWE-400;CWE-789,A04,high,tier1/java/292c320d/Intake.java,10,10,tier1/java/292c320d/Cli.java:4:4,inter-file,custom-effective,none,false,generated
c-292f467e,vulnerable,vuln,1,javascript,express,CWE-79,unescaped-output,CWE-79;CWE-80,A03,high,tier1/javascript/292f467e/page.js,2,2,tier1/javascript/292f467e/route.js:3:3,inter-file,none,none,false,generated
c-2991b08a,vulnerable,vuln,3,go,,CWE-285,unknown,CWE-285,,high,tier3/patcheval/openfga__openfga@58dbe66/server/commands/check_utils.go,338,349,,unknown,unknown,unknown,false,cve
c-29b14927,vulnerable,sca,1,java,,CWE-1395,vulnerable-version,CWE-1395;CWE-937;CWE-1104,A06,critical,tier1/java/29b14927/pom.xml,10,10,,intra-procedural,none,none,false,generated
c-29e00879,safe,secret,1,python,,CWE-798,in-example-config,CWE-798;CWE-259;CWE-321,A07,critical,tier1/python/29e00879/deploy.py,2,2,,intra-procedural,custom-effective,none,false,generated
c-2a43e67e,vulnerable,vuln,1,javascript,express,CWE-22,unvalidated-join,CWE-22;CWE-23;CWE-35;CWE-36,A01,high,tier1/javascript/2a43e67e/reader.js,8,8,tier1/javascript/2a43e67e/route.js:3:3,inter-file,none,none,false,generated
c-2af7acac,vulnerable,vuln,1,python,,CWE-79,,CWE-79;CWE-80;CWE-83,A03,high,tier1/python/2af7acac/handler.py,6,6,tier1/python/2af7acac/cli.py:7:7,inter-file,ineffective,none,false,hand-authored
c-2afe6b8b,vulnerable,vuln,1,csharp,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/csharp/2afe6b8b/Report.cs,16,16,tier1/csharp/2afe6b8b/Cli.cs:7:7,inter-file,none,collection,false,hand-authored
c-2cbe5d24,vulnerable,vuln,3,python,,CWE-78,unknown,CWE-78;CWE-77;CWE-88,,high,tier3/patcheval/NYUCCL__psiTurk@231d566/psiturk/experiment.py,287,391,tier3/patcheval/NYUCCL__psiTurk@231d566/psiturk/experiment.py:396:415;tier3/patcheval/NYUCCL__psiTurk@231d566/psiturk/experiment.py:734:747,unknown,unknown,unknown,false,cve
c-2dd2ac79,safe,vuln,1,go,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/go/2dd2ac79/settings.go,6,6,tier1/go/2dd2ac79/handler.go:3:3,inter-file,custom-effective,none,false,generated
c-2de0b431,safe,vuln,1,typescript,,CWE-918,unvalidated-url,CWE-918,A10,high,tier1/typescript/2de0b431/work.ts,8,8,tier1/typescript/2de0b431/route.ts:3:3,inter-file,custom-effective,none,false,generated
c-2e5bd471,vulnerable,vuln,1,kotlin,,CWE-502,objectinputstream,CWE-502;CWE-915,A08,high,tier1/kotlin/2e5bd471/Work.kt,10,10,tier1/kotlin/2e5bd471/Cli.kt:3:3,inter-file,none,none,false,generated
c-2ea3f1a9,vulnerable,vuln,1,python,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/python/2ea3f1a9/work.py,7,7,tier1/python/2ea3f1a9/cli.py:7:7,inter-file,none,reflection,false,hand-authored
c-2eadff81,vulnerable,sca,1,rust,,CWE-1395,,CWE-1395;CWE-937;CWE-1104,A06,high,tier1/rust/2eadff81/Cargo.toml,7,7,,intra-procedural,none,none,false,hand-authored
c-2f0331cb,safe,vuln,1,python,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/python/2f0331cb/handler.py,8,8,,inter-file,custom-effective,none,false,hand-authored
